rank,name,position,overall,potential,age,club,league,nation
1,Lionel Messi,RW,93,93,33,FC Barcelona,La Liga,Argentina
2,Cristiano Ronaldo,ST,92,92,35,Juventus,Serie A,Portugal
3,Robert Lewandowski,ST,91,91,31,FC Bayern Munchen,Bundesliga,Poland
4,Neymar,LW,91,91,28,Paris Saint-Germain,Ligue 1,Brazil
5,Kevin De Bruyne,CAM,91,91,29,Manchester City,Premier League,Belgium
6,Jan Oblak,GK,91,93,27,Atletico de Madrid,La Liga,Slovenia
7,Marc-Andre ter Stegen,GK,90,93,28,FC Barcelona,La Liga,Germany
8,Virgil van Dijk,CB,90,91,28,Liverpool,Premier League,Netherlands
9,Sadio Mane,LW,90,90,28,Liverpool,Premier League,Senegal
10,Mohamed Salah,RW,90,90,28,Liverpool,Premier League,Egypt
11,Alisson Ramos Becker,GK,90,91,27,Liverpool,Premier League,Brazil
12,Kylian Mbappe,ST,90,95,21,Paris Saint-Germain,Ligue 1,France
13,Sergio Aguero,ST,89,89,32,Manchester City,Premier League,Argentina
14,Sergio Ramos,CB,89,89,34,Real Madrid CF,La Liga,Spain
15,Karim Benzema,CF,89,89,32,Real Madrid CF,La Liga,France
16,Manuel Peter Neuer,GK,89,89,34,FC Bayern Munchen,Bundesliga,Germany
17,Thibaut Courtois,GK,89,90,28,Real Madrid CF,La Liga,Belgium
18,Casimiro,CDM,89,89,28,Real Madrid CF,La Liga,Brazil
19,Samir Handanovič,GK,88,88,35,Inter,Serie A,Slovenia
20,Toni Kroos,CM,88,88,30,Real Madrid CF,La Liga,Germany
21,Eden Hazard,LW,88,88,29,Real Madrid CF,La Liga,Belgium
22,Kalidou Koulibaly,CB,88,88,29,Napoli,Serie A,Senegal
23,Harry Kane,ST,88,89,26,Tottenham Hotspur,Premier League,England
24,Raheem Sterling,LW,88,90,25,Manchester City,Premier League,England
25,Ederson Santana de Moraes,GK,88,91,26,Manchester City,Premier League,Brazil
26,Paulo Bruno Exequiel Dybala,CF,88,89,26,Juventus,Serie A,Argentina
27,Joshua Walter Kimmich,CDM,88,90,25,FC Bayern Munchen,Bundesliga,Germany
28,N'Golo Kante,CDM,88,88,29,Chelsea,Premier League,France
29,Giorgio Chiellini,CB,87,87,35,Juventus,Serie A,Italy
30,Hugo Lloris,GK,87,87,33,Tottenham Hotspur,Premier League,France
31,Luis Suarez,ST,87,87,33,FC Barcelona,La Liga,Uruguay
32,Luka Modric,CM,87,87,34,Real Madrid CF,La Liga,Croatia
33,Di Maria,RW,87,87,32,Paris Saint-Germain,Ligue 1,Argentina
34,Wojciech Tomasz Szczęsny,GK,87,87,30,Juventus,Serie A,Poland
35,Aubameyang,ST,87,87,31,Arsenal,Premier League,Gabon
36,Sergio Busquets i Burgos,CDM,87,87,31,FC Barcelona,La Liga,Spain
37,Ciro Immobile,ST,87,87,30,Lazio,Serie A,Italy
38,Keylor Navas Gamboa,GK,87,87,33,Paris Saint-Germain,Ligue 1,Costa Rica
39,Antoine Griezmann,ST,87,87,29,FC Barcelona,La Liga,France
40,Son,LM,87,87,27,Tottenham Hotspur,Premier League,Korea Republic
