rank,name,position,overall,potential,age,club,league,nation
1,Lionel Messi,RW,91,91,35,Paris Saint Germain,Ligue 1,Argentina,
2,Karim Benzema,CF,91,91,34,Real Madrid,La Liga,France,
3,Robert Lewandowski,ST,91,91,33,FC Barcelona,La Liga,Poland,
4,Kevin De Bruyne,CM,91,91,31,Manchester City,Premier League,Belgium,
5,Kylian Mbappe,ST,91,95,23,Paris Saint Germain,Ligue 1,France,
6,Thibaut Courtois,GK,90,91,30,Real Madrid,La Liga,Belgium,
7,Mohamed Salah,RW,90,90,30,Liverpool,Premier League,Egypt,
8,Manuel Neuer,GK,89,89,36,FC Bayern Munchen,Bundesliga,Germany,
9,Neymar,LW,89,89,30,Paris Saint Germain,Ligue 1,Brazil,
10,Casimiro,CDM,89,89,30,Manchester United,Premier League,Brazil,
11,Jan Oblak,GK,89,90,29,Atletico Madrid,La Liga,Slovenia,
12,Harry Kane,ST,89,89,28,Tottenham Hotspur,Premier League,England,
13,Virgil van Dijk,CB,89,89,30,Liverpool,Premier League,Netherlands,
14,Sadio Mane,CF,89,89,30,FC Bayern Munchen,Bundesliga,Senegal,
15,Ederson,GK,89,91,28,Manchester City,Premier League,Brazil,
16,Joshua Kimmich,CDM,89,90,27,FC Bayern Munchen,Bundesliga,Germany,
17,Alisson,GK,89,90,29,Liverpool,Premier League,Brazil,
18,Erling Haaland,ST,89,94,21,Manchester City,Premier League,Norway,
19,Cristiano Ronaldo,ST,88,88,37,Al Nassr,Pro League,Portugal,
20,Luka Modric,CM,88,88,36,Real Madrid,La Liga,Croatia,
21,Toni Kroos,CM,88,88,32,Real Madrid,La Liga,Germany,
22,Marc-Andre ter Stegen,GK,88,89,30,FC Barcelona,La Liga,Germany,
23,Keylor Navas,GK,88,88,35,Paris Saint Germain,Ligue 1,Costa Rica,
24,Son,LW,88,88,29,Tottenham Hotspur,Premier League,Korea Republic,
25,Marquinhos,CB,88,90,28,Paris Saint Germain,Ligue 1,Brazil,
26,Cancelo,LB,88,88,28,Manchester City,Premier League,Portugal,
27,N'Golo Kante,CDM,88,88,31,Chelsea,Premier League,France,
28,Bernardo Silva,CAM,88,88,27,Manchester City,Premier League,Portugal,
29,Gianluigi Donnarumma,GK,88,92,23,Paris Saint Germain,Ligue 1,Italy,
30,Ruben Dias,CB,88,91,25,Manchester City,Premier League,Portugal,
31,David De Gea,GK,87,87,31,Manchester United,Premier League,Spain,
32,Marco Verratti,CM,87,87,29,Paris Saint Germain,Ligue 1,Italy,
33,Antonio Rudiger,CB,87,88,29,Real Madrid,La Liga,Germany,
34,Leon Goretzka,CM,87,88,27,FC Bayern Munchen,Bundesliga,Germany,
35,Mike Maignan,GK,87,90,26,Milan,Serie A,France,
36,Andrew Robertson,LB,87,87,28,Liverpool,Premier League,Scotland,
37,Frenkie de Jong,CM,87,92,25,FC Barcelona,La Liga,Netherlands,
38,Rodrigo,CDM,87,89,26,Manchester City,Premier League,Spain,
39,Thiago Silva,CB,86,86,37,Chelsea,Premier League,Brazil,
40,Hugo Lloris,GK,86,86,35,Tottenham Hotspur,Premier League,France,
