rank,name,position,overall,potential,age,club,league,nation
1,Lionel Andres Messi Cuccittini,RW,94,94,32,FC Barcelona,La Liga,Argentina
1,Cristiano Ronaldo dos Santos Aveiro,ST,94,94,33,Juventus,Serie A,Portugal
2,Lionel Andres Messi Cuccittini,CF,94,94,31,FC Barcelona,La Liga,Argentina
1,Cristiano Ronaldo dos Santos Aveiro,LW,94,94,32,Real Madrid CF,La Liga,Portugal
1,Lionel Messi,RW,93,93,34,Paris Saint-Germain,Ligue 1,Argentina
1,Lionel Messi,RW,93,93,33,FC Barcelona,La Liga,Argentina
2,Cristiano Ronaldo dos Santos Aveiro,ST,93,93,34,Juventus,Serie A,Portugal
2,Lionel Messi,RW,93,93,30,FC Barcelona,La Liga,Argentina
2,Robert Lewandowski,ST,92,92,32,FC Bayern Munchen,Bundesliga,Poland
2,Cristiano Ronaldo,ST,92,92,35,Juventus,Serie A,Portugal
3,Neymar,LW,92,92,27,Paris Saint-Germain,Ligue 1,Brazil
3,Neymar,LW,92,93,26,Paris Saint-Germain,Ligue 1,Brazil
3,Manuel Peter Neuer,GK,92,92,31,FC Bayern Munchen,Bundesliga,Germany
4,Luis Suarez,ST,92,92,30,FC Barcelona,La Liga,Uruguay
5,Neymar,LW,92,94,25,Paris Saint-Germain,Ligue 1,Brazil
1,Kylian Mbappe,ST,91,97,24,Paris SG,Ligue 1,France
2,Erling Haaland,ST,91,95,23,Manchester City,Premier League,Norway
3,Kevin De Bruyne,CM,91,93,32,Manchester City,Premier League,Belgium
1,Lionel Messi,RW,91,91,35,Paris Saint Germain,Ligue 1,Argentina
2,Karim Benzema,CF,91,91,34,Real Madrid,La Liga,France
3,Robert Lewandowski,ST,91,91,33,FC Barcelona,La Liga,Poland
4,Kevin De Bruyne,CM,91,91,31,Manchester City,Premier League,Belgium
5,Kylian Mbappe,ST,91,95,23,Paris Saint Germain,Ligue 1,France
3,Cristiano Ronaldo,ST,91,91,36,Manchester United,Premier League,Portugal
4,Neymar,LW,91,91,29,Paris Saint-Germain,Ligue 1,Brazil
5,Kevin De Bruyne,CM,91,91,30,Manchester City,Premier League,Belgium
6,Jan Oblak,GK,91,93,28,Atletico de Madrid,La Liga,Slovenia
7,Kylian Mbappe,ST,91,95,22,Paris Saint-Germain,Ligue 1,France
3,Robert Lewandowski,ST,91,91,31,FC Bayern Munchen,Bundesliga,Poland
4,Neymar,LW,91,91,28,Paris Saint-Germain,Ligue 1,Brazil
5,Kevin De Bruyne,CAM,91,91,29,Manchester City,Premier League,Belgium
6,Jan Oblak,GK,91,93,27,Atletico de Madrid,La Liga,Slovenia
4,Eden Hazard,LW,91,91,28,Real Madrid CF,La Liga,Belgium
5,Kevin De Bruyne,CAM,91,91,28,Manchester City,Premier League,Belgium
6,Jan Oblak,GK,91,93,26,Atlético de Madrid,La Liga,Slovenia
4,Sergio Ramos ,CB,91,91,32,Real Madrid CF,La Liga,Spain
5,Luis Suarez,ST,91,91,31,FC Barcelona,La Liga,Uruguay
6,Luka Modric,CM,91,91,32,Real Madrid CF,La Liga,Croatia
7,Eden Hazard,LW,91,91,27,Chelsea,Premier League,Belgium
8,Kevin De Bruyne,CAM,91,92,27,Manchester City,Premier League,Belgium
9,David De Gea Quintana,GK,91,93,27,Manchester United,Premier League,Spain
6,Robert Lewandowski,ST,91,91,28,FC Bayern Munchen,Bundesliga,Poland
4,Lionel Messi,CF,90,90,36,Inter Miami CF,MLS,Argentina
5,Karim Benzema,CF,90,90,35,Al Ittihad,Pro League,France
6,Thibaut Courtois,GK,90,91,31,Real Madrid,La Liga,Belgium
7,Harry Kane,ST,90,90,30,FC Bayern Munchen,Bundesliga,England
8,Robert Lewandowski,ST,90,90,35,FC Barcelona,La Liga,Poland
6,Thibaut Courtois,GK,90,91,30,Real Madrid,La Liga,Belgium
7,Mohamed Salah,RW,90,90,30,Liverpool,Premier League,Egypt
8,Manuel Neuer,GK,90,90,35,FC Bayern Munchen,Bundesliga,Germany
9,Marc-Andre ter Stegen,GK,90,92,29,FC Barcelona,La Liga,Germany
10,Harry Kane,ST,90,90,27,Tottenham Hotspur,Premier League,England
11,N'Golo Kante,CDM,90,90,30,Chelsea,Premier League,France
7,Marc-Andre ter Stegen,GK,90,93,28,FC Barcelona,La Liga,Germany
8,Virgil van Dijk,CB,90,91,28,Liverpool,Premier League,Netherlands
